name,line
ANT,"</b> No, no, no. Oh, no. Oh, no."
ANT,</b> I'm lost! Where's the line? It just went away. What do I do?
ANT,</b> Help! 
ANT,</b> We'll be stuck here forever!
 SOIL,"</b> Do not panic! Do not panic! We are trained professionals! Now, stay calm. We are going around the leaf."
ANT,</b> A-Around the leaf? I-I don't think we can do that.
 SOIL,"</b> Oh, nonsense. This is nothing compared to the twig of '93."
 SOIL,</b> That's it. That's it. Good! You're doing great! There you go. There you go!
 SOIL,</b> Watch my eyes. Don't look away. And here's the line again.
ANT,"</b> (gleeful shout) Thank you! Thank you, Mr. Soil!"
 SOIL,"</b> Good job, everybody!"
 FLORA,"</b> Oh, my. There's quite a gap, Mr. Soil. Shouldn't we tell the queen?"
 SOIL,"</b> I don't think we need to involve the queen in this. She's got enough on her plate already, training her daughter."
 FLORA,"</b> Oh, yes, Princess Atta. The poor dear."
ATTA,</b> Oh... Wind's died down. They'll be here soon.
QUEEN,"</b> Just be confident, dear. You'll be fine."
ATTA,</b> Ah! There's a gap. There's a gap in the line! What are we gonna do?!
THORNY,"</b> It's okay, Your Highness. Gaps happen. We just lost a few inches, that's all."
ATTA,"</b> Oh, right."
THORNY,"</b> Your Highness, I can't count when you hover like that."
ATTA,"</b> Oh, of course. I'm sorry. (chuckle) Go ahead."
QUEEN,"</b> Guys, go shade someone else for a while. Okay, Atta. Now what do we do?"
ATTA,</b> Oh! Don't tell me. I know it. I know it. What is it?
QUEEN,</b> We relax!
ATTA,</b> Right.
QUEEN,"</b> Oh, it'll be fine. It's the same, year after year. They come, they eat, they leave. That's our lot in life. It's not a lot, but it's our life. (laughs) Isn't that right, Aphie? Oh, you're such a cute little aphid."
VIOLET ANT BOY,</b> Ditch Dot!
BLUE ANT BOY,"</b> Yeah, yeah!"
DOT,"</b> Hey, come back here!"
DOT,</b> (grunts)
QUEEN,</b> Dot!
DOT,"</b> Yes, Mother."
QUEEN,</b> What did I tell you about trying to fly?
DOT,</b> Not until my wings grow in.
QUEEN,</b> Right.
DOT,"</b> But, Mom--"
ATTA,"</b> Dot, you're a young queen ant, and your wings are too little to be--"
DOT,"</b> I was talking to Mother. You're not the queen yet, Atta."
QUEEN,"</b> Now, Dot, be nice to your sister."
DOT,</b> It's not my fault she's so stressed out.
ATTA,"</b> (sigh) I know, I know. (sigh) I'm always acting like the sky is falling."
 SOIL,</b> Look out!
ATTA,</b> Ah!
QUEEN,</b> Atta!
THORNY,</b> Princess Atta!
 FLORA,</b> Princess Atta! Princess Atta!
ATTA,</b> Oh!
 SOIL,</b> Look out!
 FLORA,</b> Hey! Stop that!
 SOIL,</b> What do you think you're doing?
 FLORA,</b> You could have killed somebody over here!
FLIK,</b> (gasp) I'm sorry! I'm sorry!
THORNY,"</b> Oh, it's Flik."
CORNELIUS,</b> (groan)
FLIK,"</b> I'm sorry, I'm sorry, I'm so sorry! Please forgive me. I'm sorry! "
FLIK,</b> (scream) Princess Atta!
ATTA,"</b> Flik, what are you doing?"
FLIK,"</b> Oh... Oh, this! This is my new idea for harvesting grain. No more picking individual kernels. You can just cut down the entire stalk!"
ATTA,"</b> Flik, we don't have time for this."
FLIK,"</b> Exactly! We never have time to collect food for ourselves, because we spend all summer harvesting for the offering. But my invention will speed up production."
ATTA,</b> (groan) Another invention?
FLIK,"</b> Yeah, and I've got something for you, too."
ATTA,</b> (sigh) Flik!
FLIK,"</b> Since you're gonna be queen soon, you could use this to oversee production. Dr. Flora, if I may."
 FLORA,</b> (gasp) Oh!
ATTA,"</b> This is all very nice, but--"
THORNY,</b> What?
FLIK,"</b> Just an ordinary blade of grass and a bead of dew, right?"
ATTA,"</b> Flik, please."
FLIK,"</b> Wrong! It is, in fact..."
FLIK,</b> ...A telescope!
 DOT,</b> (laughing)
ATTA,"</b> It's very clever, Flik, but--"
FLIK,"</b> Hello, princess! My, aren't you looking lovely this morning! Not, of course, that you would need a telescope to see that--"
THORNY,"</b> All right, listen! The princess doesn't have time for this! You want to help us fill this thing? Then get rid of that machine, get back in line and pick grain like everybody else!"
CORNELIUS,</b> Like everybody else!
ATTA,"</b> Please, Flik. Just go."
FLIK,</b> I'm sorry. I was-- I was really just trying... Trying to help.
CORNELIUS,"</b> Harvester. Why, we've harvested the same way ever since I was a pupa."
ATTA,</b> (exasperated sigh) Where were we?
 SOIL,"</b> The food pile, Your Highness."
ATTA,"</b> Oh, yes. Yes."
DOT,"</b> Hey, Flik! Flik, wait up!"
FLIK,"</b> Oh. Hello, princess."
DOT,"</b> You can call me Dot. Here, you forgot this."
FLIK,</b> Thanks. You can keep it. I can...make another one.
DOT,</b> I like your inventions.
FLIK,"</b> Really? Well, you're the first. I'm beginning to think nothing I do works."
DOT,</b> This works.
FLIK,</b> Great. One success. (sigh) I'm never gonna make a difference.
DOT,"</b> Me, neither. I'm a royal ant, and I can't even fly yet. I'm too little."
FLIK,"</b> Oh, being little's not such a bad thing."
DOT,"</b> Yes, it is."
FLIK,"</b> No, it's not."
DOT,"</b> Is, too!"
FLIK,</b> Is not.
DOT,"</b> Is, too."
FLIK,</b> Is not. Is not. Is not.
DOT,"</b> Is, too. Is, too. Is, too."
FLIK,</b> Is not-- Oh... A seed. I need-- I need a seed. Uh... (grunts)
FLIK,"</b> (groan) Uh, here, here."
FLIK,</b> Pretend-- Pretend that that's a seed.
DOT,</b> It's a rock.
FLIK,"</b> Oh, I know it's a rock. I know. Uh, but let's just pretend for a minute that it's a seed, all right? We'll just use our imaginations. Now-Now do you see our tree? Everything that made that giant tree is already contained inside this tiny little seed. All it needs is some time, a little bit of sunshine and rain, and voila!"
DOT,</b> This rock will be a tree?
FLIK,"</b> Seed to tree. You've got to work with me, here, all right? Okay. Now, you might not feel like you can do much now, but that's just because, well, you're not a tree yet. You just have to give yourself some time. You're still a seed."
DOT,</b> But it's a rock.
FLIK,</b> I know it's a rock! Don't you think I know a rock when I see a rock? I've spent a lot of time around rocks!
DOT,"</b> (laughing) You're weird, but I like you."
FLIK,</b> (gasp) They're here.
